"","Line #","Name","Description","Designator","Revision Status","Quantity","Footprint","Manufacturer 1","Manufacturer Part Number 1","Manufacturer Lifecycle 1","Supplier 1","Supplier Part Number 1","Supplier Subtotal 1"
,"","RES_0603_10kΩ, DNL","Res Thick Film 0603 10K Ohm 1% 0.1W(1/10W) ±100ppm/C Molded SMD Automotive T/R","R309, R310, R311, R312, R326, R327, R341, R346, R347, R349, R350, R351, R352, R353, R360, R400, R401, R402, R403, R404, R421, R422, R423, R424, R425, R426, R427, R428, R430, R431, R432, R433, R434, R435, R436, R437, R450, R451, R452, R454, R455, R457, R458, R504, R505, R506, R507, R508, R509, R511, R512, R514, R515, R518, R520, R521, R522, R523, R524, R526, R527, R530, R531, R532, R533, R534, R536, R537, R540, R541, R542, R544, R545, R546, R547, R550, R551, R552, R553, R554, R555, R556, R557, R558, R561, R562, R563, R564, R565, R566, R567, R568, R569, R570, R571, R572, R573, R574, R575, R576, R577, R578, R579, R580, R581, R582, R583, R584, R585, R586, R595, R802, R815, R816, R817, R818, R819, R820, R825, R826, R827, R4453","Up to date","122","FP-RMCF0603-MFG","SEI","RMCF0603FT10K0","Volume Production","Mouser","708-RMCF0603FT10K0","0.854"
,"","UMK325AB7106KM-T","CAP CER 10UF 50V X7R 1210","C100, C105, C113","Up to date","3","FP-MK325A-MFG","Taiyo Yuden","UMK325AB7106KM-T","Volume Production","Digi-Key","587-3167-1-ND","2.16"
,"","CC0805KKX5R9BB105","0805 1 uF 50 V ±10% Tolerance X5R SMT Multilayer Ceramic Capacitor","C101, C106, C114, C871, C872","Up to date","5","FP-CC0805-0_85-MFG","Yageo","CC0805KKX5R9BB105","Volume Production","Farnell","4166941","1.02516"
,"","CAP_4uF7_0805_50V","Multilayer Ceramic Capacitor 4.7uF 10% 50V 0805 T/R","C107, C115, C119, C121, C130, C226","Up to date","6","CAPC2013X135X45NL10T25","TDK","C2012X7R1H475K125AE","Volume Production","Farnell","3416186","2.5259"
,"","GCM1885C1H272JA16D","Ceramic Capacitor for Automotive 2.7nF  ±5% 50VDC C0G 0603 Paper T/R","C110","Up to date","1","FP-GCM188-0_1-MFG","Murata","GCM1885C1H272JA16D","Volume Production","Newark","92AH4798","0.5"
,"","CAP_0603_20pF_50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 5% +Tol, 5% -Tol, C0G, 30ppm/Cel TC, 0.00002uF, Surface Mount, 0603","C117, C133","Up to date","2","CAPC0603(1608)100_L","Walsin Technologies","0603N200J500CT","Volume Production","Digi-Key","1292-1498-1-ND","0.2"
,"","CAP_0603_100nF_50V","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X5R, 15% TC, 0.1uF, Surface Mount, 0603","C181, C182, C227, C230","Up to date","4","FP-RMCF0603-IPC_B","Kyocera AVX","06035D104KAT2A","Volume Production","Newark","95W9226","0.11"
,"","Capacitor 10µF +/-20% 25V 0805","Chip Capacitor, 10µF +/-20%, 25V, 0805, Thickness 1.45 mm","C207","Up to date","1","CAPC0805(2012)145_L","TDK","C2012X5R1E106K125AB","Volume Production","Arrow Electronics","C2012X5R1E106K125AB","0.2843"
,"","CAP_0603_10nF_25V","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, -/+15ppm/Cel TC, 0.01uF, 0603","C215, C228","Up to date","2","FP-RMCF0603-IPC_B","Multicomp","MC0603B103K250CT","Volume Production","Farnell","1759022","0.24264"
,"","KCM55WR7YA476MH01L","CAP CER 47UF 35V X7R SMD","C216, C217, C218","Up to date","3","FP-KCM55W-6_1_5_3_6_7_1_2-MFG","Murata","KCM55WR7YA476MH01L","Volume Production","Farnell","2990711","9.89976"
,"","C0603X104K5RACTU","CAP CER 0.1UF 50V X7R 0603","C300, C301, C302, C305, C307, C308, C311, C315, C316, C326, C327, C329, C351, C352, C401, C403, C476, C504, C509, C510, C540, C543, C550, C560, C572, C580, C600, C603, C604, C605, C608, C611, C612, C615, C618, C622, C625, C631, C634, C636, C638, C641, C651, C701, C703, C704, C705, C709, C711, C712, C715, C4521","Up to date","52","FP-C0603-CJ-MFG","KEMET","C0603X104K5RACTU","Volume Production","Newark","94M5632","1.352"
,"","UMK107AB7105KA-T","Ceramic Capacitor General Use 1uF ±10% 50V X7R 0603","C81, C304, C325, C340, C350, C380, C400, C404, C475, C505, C508, C520, C524, C534, C541, C551, C561, C573, C601, C602, C606, C607, C610, C613, C614, C621, C624, C630, C633, C637, C640, C650, C700, C702","Up to date","34","FP-0603-L_1_6_0_15-W_0_8-IPC_C","Taiyo Yuden","UMK107AB7105KA-T","Volume Production","Mouser","963-UMK107AB7105KA-T","4.284"
,"","06033C474KAT2A","General Purpose Ceramic Capacitor, 0603, 470nF, 10%, X7R, 15%, 25V","C516, C548","Up to date","2","FP-0603-L_1_6_0_15-W_0_81-MFG","Yageo","CC0603KRX5R8BB474","Volume Production","Mouser","603-CC603KRX5R8BB474","0.26"
,"","BAT54T1G","Schottky Barrier Diode, 2-Pin SOD-123, Pb-Free, Tape and Reel","D508, D509, D510, D512, D513, D514, D524, D525, D534, D535, D540, D541, D542, D545, D546, D547","Up to date","16","ONSC-SOD-123-2-425-04_V","ON Semiconductor","BAT54T1G","Volume Production","Mouser","863-BAT54T1G","3.136"
,"","39-28-9088","Connector","J200","","1","39-28-9088","","","","","",""
,"","39-30-2040","CONN HEADER VERT 4POS 4.2MM","J201, J202, J207","Up to date","3","FP-39-30-2040-MFG","Molex","39-30-2040","Volume Production","Newark","58J8596","0.969"
,"","39-28-9168","Connector","J203, J204","","2","39-28-9168","","","","","",""
,"","46999-0621","Conn Power HDR 2 POS 4.2mm Solder ST Thru-Hole 2 Terminal 1 Port","J205","Up to date","1","Molex_46999-0621_2pin_4mm2Pitch","Molex","46999-0621","Volume Production","Digi-Key","0469990621-ND","0.92"
,"","39-28-9188","Connector","J210","","1","39-28-9188","","","","","",""
,"","22-23-2031","WIRE-BOARD CONNECTOR HEADER 3 POSITION, 2.54MM; Product Range:KK 6373 Series; Contact Termination Type:Through Hole; Gender:Header; No. of Contacts:3; Pitch Spacing:2.54mm; Contact Plating:Tin Plated Contacts; Contact Material:Brass ;RoHS Compliant: Yes","J800","Up to date","1","MOLX-22-23-2031_V","Molex","22-23-2031","Volume Production","Mouser","538-22-23-2031","0.27"
