"","Line #","Name","Description","Designator","Quantity","Manufacturer 1","Manufacturer Part Number 1","Manufacturer Lifecycle 1","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Supplier Subtotal 1"
,"","470uF 35V","CAP ALUM 470UF 20% 35V RADIAL","C1, C1a, C1b, C2, C2a, C2b, C11, C26, C65, C94, C140","11","Rubycon","35ZLH470MEFC10X16","Volume Production","Digi-Key","1189-1890-ND","0.436","4.796"
,"","DNP","CAPACITOR NOT POPULATED 0603","C1a, C1b","2","","","","","","",""
,"","10uF 50V","CAP CER 10UF 50V X5R 1206","C3, C4, C12, C21, C24, C27, C39, C41, C42, C44, C63, C66, C71, C74, C82, C85, C92, C95, C99, C117, C135, C138, C141, C159, C180, C181","26","Murata","GRT31CR61H106ME01L","Volume Production","Digi-Key","490-12457-1-ND","0.255","6.63"
,"","0.1uF 50V","CAP CER 0.1UF 50V X7R 0603","C5, C6, C7, C8, C9, C10, C13, C14, C15, C16, C18, C19, C22, C25, C28, C29, C34, C35, C40, C43, C45, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C64, C67, C68, C70, C75, C76, C77, C79, C81, C86, C87, C88, C91, C93, C96, C97, C100, C102, C105, C107, C111, C112, C114, C115, C118, C120, C123, C125, C129, C130, C132, C133, C136, C139, C142, C143, C148, C153, C154, C155, C157, C160, C162, C163, C168, C173, C174, C175, C176, C177, C178, C179, C182","89","KEMET","C0603C104K5RACTU","Volume Production","Digi-Key","399-C0603C104K5RAC7867DKR-ND","0.0329","3.29"
,"","680pF 50V","CAP CER 680PF 50V X7R 0603","C17, C90, C113, C131, C156","5","Vishay Vitramon","VJ0603Y681KXACW1BC","Volume Production","Digi-Key","720-VJ0603Y681KXACW1BCCT-ND","0.1","0.5"
,"","100uF 50V","CAP ALUM 100UF 20% 50V RADIAL","C20, C72, C73, C83, C84, C98, C116, C134, C158","9","Rubycon","50ZLH100MEFC8X11.5","Volume Production","Digi-Key","1189-2327-ND","0.27","2.7"
,"","10000pF 50V","CAP CER 10000PF 50V X7R 0603","C23, C69, C80, C101, C119, C137, C161","7","KEMET","C0603C103K5RACTU","Volume Production","Digi-Key","399-C0603C103K5RAC7867CT-ND","0.061","0.61"
,"","47uF 25V","CAP CER 47UF 25V X5R 1206","C30, C31, C32, C33, C144, C145, C146, C147, C149, C164, C165, C166, C167, C169","14","TDK","C3216X5R1E476M160AC","Volume Production","Digi-Key","445-8047-1-ND","0.734","10.276"
,"","15000pF 50V","CAP CER 0.015UF 50V X7R 0603","C36, C108, C126, C150, C170","5","KEMET","C0603C153K5RACTU","Volume Production","Digi-Key","399-C0603C153K5RAC7867CT-ND","0.1","0.5"
,"","47pF 50V","CAP CER 47PF 50V C0G/NP0 0603","C37, C46, C47, C109, C127, C151, C171","7","Samsung","CL10C470JB8NNNC","Volume Production","Digi-Key","1276-1037-1-ND","0.039","0.39"
