"","Name","Description","Designator","Part Number","Price","Qty"
,"GRT188R6YA475KE13D","Multi-Layer Ceramic Capacitor 4.7uF 35V X5R ±10% 0603 Paper T/R","C200, C201, C202, C211, C212, C213, C214, C300, C301, C302, C311, C312, C313, C314","Murata GRT188R6YA475KE13D, ","2.996","14"
,"GRM188R6YA106MA73D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V","C203, C207, C219, C303, C307, C319","Murata GRM188R6YA106MA73D, ","1.26","6"
,"C0805C474K3RACTU","CAP CER 0.47UF 25V X7R 0805","C204, C215, C304, C315, C502, C503, C506, C507, C510, C511, C514, C515, C518, C519, C522, C523, C526, C527, C530, C5531","Yageo CC0805KKX7R8BB474, ","0.4","20"
,"C0603C223K5RACTU","Ceramic Capacitor 0.022Uf 50V, X7R, 10%, 0603, Full Reel","C205, C216, C305, C316","KEMET C0603C223K5RACTU, ","","4"
,"C1608C0G1E103J080AA","Multilayer Ceramic Capacitors 10nF ±5% 25V C0G SMD 0603","C206, C217, C218, C223, C306, C317, C318, C323, C500, C504, C508, C512, C516, C520, C524, C528","TDK C1608C0G1E103J080AA, ","0.928","16"
,"06035C333KAT2A","General Purpose Ceramic Capacitor, 0603, 33nF, 10%, X7R, 15%, 50V","C224, C324","Kyocera AVX 06035C333KAT2A, ","0.0184","2"
,"C0603X104K5RACTU","CAP CER 0.1UF 50V X7R 0603","C400, C401, C501, C505, C509, C513, C517, C521, C525, C529","KEMET C0603X104K5RACTU, ","0.26","10"
,"SM02B-SURS-TF (L",,"J100, J101, J102, J103, J104, J105, J106, J107","","","8"
,"SM04B-SURS-TF(LF",,"J110, J111, J112, J113, J114, J115, J116, J117","","","8"
,"CONN JST SM06B-SRSS-TB","CONN HEADER SMD R/A 6POS 1MM","J120","","","1"
,"CRCW04024K70FKED","RES Thick Film, 4.7kΩ, 1%, 0.063W, 100ppm/°C, 0402","R100, R101, R400, R401, R402, R403, R404, R405, R406, R407, R408, R409, R410, R411, R412, R413, R414, R415, R416, R420","Vishay Dale CRCW04024K70FKED, ","","20"
,"CRCW0603620RFKEA",,"R200, R211, R300, R311","Vishay CRCW0603620RFKEA, ","0.012","4"
,"ERJ-3EKF4993V",,"R201, R301","Panasonic ERJ-3EKF4993V, ","0.01","2"
,"RT0603FRE07280KL","RES SMD 280K OHM 1% 1/10W 0603","R206, R217, R306, R317","Yageo RT0603FRE07280KL, ","0.32","4"
,"RT0603BRD0761K9L","RES SMD 61.9K OHM 0.1% 1/10W","R207, R218, R307, R318","Yageo RT0603BRD0761K9L, ","0.7344","4"
,"KTR03EZPF1002","Res Thick Film 0603 10kΩ 1% 0.1W ±100ppm/°C Automotive Paper T/R","R219, R319","Rohm KTR03EZPF1002, ","0.3","2"
,"KTR03EZPF6801","Res Thick Film 0603 6.8kΩ 1% 0.1W ±100ppm/°C Automotive Paper T/R","R224, R324","Rohm KTR03EZPF6801, ","0.32","2"
,"CRCW06031K00FKEA","RES Thick Film, 1kΩ, 1%, 0.1W, 100ppm/°C, 0603","R225, R226, R325, R326","Vishay Dale CRCW06031K00FKEA, ","0.17","4"
,"RL0603FR-070R5L",,"R500, R501, R502, R503, R504, R505, R506, R507","Yageo RL0603FR-070R5L, ","0.392","8"
,"LT3066IMSE#PBF","Adjustable LDO current limit","U200, U211, U300, U311","","","4"
,"LT1637CS8#TRPBF","Single Channel, High Voltage, Micropower Rail-to-Rail Operational Amplifier, 1 MHz Typical GBW, 0.35 V/us Typical SR, 1.8 to 44 V, 8-Pin SOIC (S8-8), Commercial, Pb-Free, Reel","U223, U323","Analog Devices / Linear Technology LT1637CS8#TRPBF, ","10.28","2"
,"PCA9548ADGVR","8-Channel I2C Switch with Reset, 2.3 to 5.5 V, -40 to 85 degC, 24-pin TVSOP (DGV), Green (RoHS & no Sb/Br)","U400","Texas Instruments PCA9548ADGVR","1.65","1"
,"PCA9538PW_Q900,118","Integrated Circuit","U401","","","1"
