"","Name","Description","Designator","Part Number","Price","Qty"
,"0402YD105KAT2A","'CAP CER 1UF 16V 10% X7R 0402","C10, C11, C14, C15, C16, C17, C18, C22, C24, C25, C31, C33, C35, C315","Kyocera AVX 0402YD105KAT2A, ","0.602","14"
,"C1608X5R1A106M080AC","Multilayer Ceramic Capacitors 10μF ±20% 10V X5R SMD 0603","C20, C27, C37, C210, C312, C329","TDK C1608X5R1A106M080AC, ","2.06","6"
,"0402YD104KAT2A","CAP CER 0.1UF 16V X5R 0402","C21, C23, C26, C28, C38, C310, C313, C317","Kyocera AVX 0402YD104KAT2A, ","0.22","8"
,"CAP CER 0.1UF 16V X5R 0402","CAP CER 0.1UF 16V X5R 0402","C29","Taiyo Yuden EMK105BJ104MV-F","0.1","1"
,"GRM155R71C103KA01D","Chip Capacitor, 10 nF, 16 V, 10%, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel","C32, C34, C36, C39, C311, C314","Murata GRM155R71C103KA01D, ","0.15","6"
,"CL03A104KO3NNNC","Cap Ceramic 100nF 16V X5R ±10% Pad SMD 0201 +85°C T/R","C40, C42, C45, C53, C57","Samsung CL03A104KO3NNNC, ","0.25","5"
,"CAP CER 0.1UF 6.3V X5R 0201","CAP CER 0.1UF 6.3V X5R 0201","C49","Samsung CL03A104KQ3NNNH","0.1","1"
,"0201ZD105MAT2A","CAP CER 1UF 10V X5R 0201","C54","Kyocera AVX 0201ZD105MAT2A","0.10567","1"
,"GRM155R70J223KA01D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 22000pF, X7R, 15%, 10%, 6.3V","C316","Murata GRM155R70J223KA01D","0.07279","1"
,"C1005X7R1H333K050BB","Multilayer Ceramic Capacitors 33nF ±10% 50V X7R SMD 0402","C318, C319","TDK C1005X7R1H333K050BB, ","","2"
,"SDM03U40-7","DIODE SCHOTTKY 30V 30MA SOD523","D40","Diodes SDM03U40-7","0.0246","1"
,"APHHS1005SURCK","LED RED CLEAR CHIP SMD","DS43","Kingbright APHHS1005SURCK","0.35","1"
,"SML-P11MTT86","LED YELLOW/GREEN CLEAR 1006 SMD","DS44","Rohm SML-P11MTT86","0.335","1"
,"SM02B-SURS-TF (L",,"J10","","","1"
,"128-0711-201","Connector","J11","","","1"
,"SM04B-SURS-TF(LF",,"J12","","","1"
,"BLM15AX102SN1D","Chip Ferrite Bead, 0402, 1000Ω @ 100MHz, 0.49Ω, 25%, 350mA","L30, L33, L35","Murata BLM15AX102SN1D, ","0.3","3"
,"CRCW040240K2FKED","RES, 20 k, 1%, 0.063 W, 0402","R17","","","1"
,"ERJ-1GEF4701C",,"R20, R21, R24, R25, R45, R56, R57","Panasonic ERJ-1GEF4701C, ","","7"
,"RES SMD 0 OHM JUMPER 1/20W 0201","0 Ohms Jumper 0.05W, 1/20W Chip Resistor 0201 (0603 Metric)  Thick Film","R22, R23, R27, R28","","","4"
,"CRCW040210K0JNED","RES, 10k ohm, 5%, 0.063W, 0402","R30, R31, R34","","","3"
,"CRCW04021K50JNED","RES, 1.5 k, 5%, 0.063 W, 0402","R32, R323","","","2"
,"CRCW040240K2FKED","RES, 40.2 k, 1%, 0.063 W, 0402","R36","","","1"
,"ERJ-1GN0R00C",,"R37, R52, R53, R55","Bourns CR0201-J/-000GLF, ","0.06","4"
,"ERJ-2RKF49R9X",,"R38","Panasonic ERJ-2RKF49R9X","0.006","1"
,"CRCW0201100KFKED",,"R40","Vishay Dale CRCW0201100KFKED","0.22","1"
,"CRCW020110K0FKED",,"R41","Vishay Dale CRCW020110K0FKED","0.022","1"
,"ERJ-2GEJ301X",,"R43, R44","Panasonic ERJ-2GEJ301X, ","0.004","2"
,"ERJ1GNF2003C",,"R58","Panasonic ERJ-1GNF2003C","0.092","1"
,"LP5907SNX-2.8/NOPB","None","U10","Texas Instruments LP5907SNX-2.8/NOPB","0.166","1"
,"LP5907SNX-1.9/NOPB, LP5907SNX-1.2/NOPB","None","U11, U12","Texas Instruments LP5907SNX-1.8/NOPB, ","1.2248","2"
,"DS90UB953TRHBRQ1","2MP MIPI CSI-2 FPD-Link III Serializer for 2MP/60fps Cameras and RADAR, RHB0032P (VQFN-32)","U30","","","1"
,"SN74LVC2G00YZPR","IC GATE NAND 2CH 2-INP 8DSBGA","U40","","","1"
,"SN74AUC2G06YZPR","IC INVERTER 2CH 2-INP 6DSBGA","U42","","","1"
,"SN74AUP1G07YFPR","Low-Power Single Buffer/Driver with Open-Drain Outputs, YFP0004AAAA, LARGE T&R","U45","Texas Instruments SN74AUP1G07YFPR","0.3127","1"
,"PCA9306YZTR","Dual Bi-Directional I2C-Bus and SMBus Voltage Level-Translator, 0 to 5.5 V, -40 to 85 degC, 8-pin DSBGA (YZT), Green (RoHS & no Sb/Br)","U50","Texas Instruments PCA9306YZTR","0.77","1"
