"","Name","Description","Designator","Part Number","Price","Qty"
,"0.1 uF_0","0.1 µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric)","C100, C105, C109, C111","","","4"
,"1.0 uF_1","1 µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric)","C101","","","1"
,"CAP_0805_6","5 pF ±0.25pF 16V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)","C113","","","1"
,"ODD-3W-2_7","SENSOR PHOTODIODE 940NM TO5","D112","","","1"
,"644456-2_8","644456-2_8","J100","","","1"
,"221789-1_9","SMA Connector Jack, Female Socket 50 Ohms Through Hole Solder","J112","","","1"
,"0_40","0 Ohms Jumper Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film","R109, R110, R116","","","3"
,"RES_0805_28","12.7 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film","R111","","","1"
,"RES_0805_29","RES_0805_29","R115","","","1"
,"RES_0805_31","50 Ohms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thin Film","R120","","","1"
,"1.0 uF 25 V_36","1 µF Molded Tantalum Capacitors 25 V 0805 (2012 Metric) 11Ohm @ 100kHz","T100, T105, T108, T109, T111","","","5"
,"MIC5203-5.0BM5-TR_42","Linear Voltage Regulator IC Positive Fixed 1 Output 80mA SOT-23-5","U100","","","1"
,"SI7661ESA+_37","Charge Pump Switching Regulator IC Positive or Negative Fixed -Vin, 2Vin 1 Output 20mA 8-SOIC (0.154\", 3.90mm Width)","U105","","","1"
,"LTC6268_38","LTC6268_38","U111","","","1"
